epoch,nll_total,nll_per_row,penalty,loss_base,bce_sum,loss_total
0,32262.525768018753,77.18307600004486,1.2000000000000004,32263.725768018754,31.813738185798194,32402.115529126975
1,30738.47375087368,73.53701854276,1.2465362179232857,30739.720287091604,31.69295026465445,30877.58462074285
2,29409.41075646215,70.35744200110562,1.294654627125067,29410.70541108928,31.578609813221796,29548.072363776795
3,28261.852201841375,67.61208660727601,1.3442626833591043,28263.196464524735,31.470778572645358,28400.094351315744
4,27280.256917594845,65.2637725301312,1.3952410883496151,27281.652158683195,31.369524376722293,27418.10958972194
5,26447.670367732222,63.27193867878522,1.447446172097797,26449.11781390432,31.274921190184113,26585.16372108162
6,25746.667812933094,61.59489907400262,1.5007136325255523,25748.16852656562,31.18705218535615,25883.832203571917
7,25159.680657903693,60.190623583501655,1.5548637542123815,25161.235521657905,31.106011816748847,25296.546673060762
8,24669.316451404404,59.01750347225934,1.609708497210771,24670.926159901614,31.031905917429324,24805.914950642433
9,24258.928256278603,58.035713531766994,1.6650598038500393,24260.593316082453,30.964850163650482,24395.290414294333
10,23913.172880034046,57.208547559890064,1.7207379689788653,23914.893618003025,30.9049673762785,24049.330226089838
11,23618.382133668034,56.50330653987568,1.7765792344263454,23620.15871290246,30.852384083385253,23754.366583665185
12,23362.740963470475,55.89172479299157,1.832442261460523,23364.573405731935,30.807226699880136,23498.584841876414
13,23136.322822501355,55.35005459928554,1.8882134436466753,23138.211035945,30.769617587397008,23272.05887245018
14,22931.02522340093,54.85891201770558,1.94381118821641,22932.969034589147,30.739671165498088,23066.686604159062
15,22740.433271252798,54.40295040969569,1.999189311974544,22742.43246056477,30.717490173127217,22876.053542817874
16,22559.63226227659,53.970412110709546,2.054339510376866,22561.68660178697,30.7031621331994,22695.245357066386
17,22384.993586936835,53.552616236690994,2.109292694425581,22387.10287963126,30.696756050285977,22520.633768450003
18,22213.958619535817,53.14344167353066,2.1641191133306155,22216.12273864915,30.69831936395164,22349.660427882336
19,22044.836658191914,52.738843679884965,2.218927416455539,22047.05558560837,30.70787518103019,22180.63484264585
20,21876.623220722933,52.33641918833238,2.273862894613358,21878.897083617547,30.72541981408004,22012.552659808796
21,21708.839748577433,51.93502332195558,2.329105096762766,21711.168853674197,30.750920657913248,21844.93535853612
22,21541.39396790455,51.53443532991519,2.3848649596954075,21543.778832864245,30.784314440454907,21677.690600680224
23,21374.459755859567,51.135071186266906,2.4413815630303075,21376.901137422596,30.825505887832858,21510.99208803467
24,21208.375431621298,50.7377402670366,2.4989186237070147,21210.874350245005,30.874366845835603,21345.17784602439
25,21043.559606203326,50.343444033979246,2.557760854804983,21046.11736705813,30.930735899425763,21180.66606822063
26,20880.44391751529,49.95321511367295,2.61821031809701,20883.06212783339,30.994418527167905,21017.88784842657
27,20719.422043231214,49.567995318734965,2.6805828903812334,20722.102626121596,31.06518781661412,20857.236193123867
28,20560.81427376432,49.18855089417302,2.7452049396249265,20563.559478703944,31.142785748783844,20699.030596711153
29,20404.846643217283,48.815422591428906,2.812410273394913,20407.65905349068,31.226925034569437,20543.496177391055
30,20251.643203190884,48.448907184667185,2.882537386953628,20254.52574057784,31.317291454102087,20390.755958403184
31,20101.229557528157,48.089065927100854,2.9559270093123224,20104.18548453747,31.413546614737342,20240.834412311575
32,19953.54534190334,47.73575440646732,3.03291992707609,19956.578261830415,31.515331010117144,20093.669951724423
33,19808.46301162746,47.38866749193172,3.1138550590262515,19811.576866686486,31.622267240131194,19949.133729181056
34,19665.810155953142,47.04739271759125,3.1990677570812984,19669.009223710225,31.73396324817339,19807.05196383978
35,19525.392621878273,46.7114656025796,3.2888883181595174,19528.68151019643,31.850015452342433,19667.229077414122
36,19387.01600960722,46.38042107561536,3.3836407031123263,19390.399650310334,31.970011687572164,19529.46920115127
37,19250.503572906626,46.05383629881968,3.4836414706156322,19253.98721437724,32.09353392456254,19393.594086949088
38,19115.709175497923,45.73136166387063,3.5891989437844445,19119.298374441707,32.22016077456539,19259.456073811067
39,18982.52465563837,45.41273841061811,3.7006126338623755,18986.225268272236,32.34946981656661,19126.9454619743
40,18850.881656298276,45.097803005498264,3.8181729475112447,18854.699829245787,32.48103979320431,18995.992352346224
41,18720.74860205628,44.78647990922555,3.9421612015279788,18724.690763257808,32.61445271841798,18866.563632582925
42,18592.123969288557,44.47876547676688,4.072849961890827,18596.19681925045,32.74929593006565,18738.656256546237
43,18465.027254385615,44.17470635020482,4.210503714536042,18469.237758100153,32.88516410980564,18612.288221977808
44,18339.4890853595,43.874375802295454,4.355379865084376,18343.84446522458,33.021661282875165,18487.488691805087
45,18215.541772328106,43.57785112997155,4.50773005516525,18220.04950238327,33.15840280233137,18364.28855457341
46,18093.211304872806,43.28519450926509,4.667801774412087,18097.87910664722,33.29501731524585,18242.71243196854
47,17972.51144352591,42.99643886010983,4.835840239415073,17977.347283765324,33.43114870165016,18122.772780617503
48,17853.44018133342,42.71157938118043,5.012090503627688,17858.452271837046,33.56645797048206,18004.466364008644
49,17735.978521081055,42.43057062459582,5.196799755400838,17741.175320836457,33.70062509053011,17887.773039980264
50,17620.091259134246,42.153328371134556,5.390219755242443,17625.481478889487,33.833350728813954,17772.656554559828
51,17505.72930427849,41.87973517769974,5.59260935851805,17511.32191363701,33.96435786445089,17659.06687034737
52,17392.83298928072,41.60964829971464,5.804237066551461,17398.63722634727,34.09339324329922,17546.94348695562
53,17281.33584143748,41.342908711572925,6.025383547741111,17287.361224985223,34.22022863788591,17436.219219560026
