epoch,nll_total,nll_per_row,penalty,loss_base,bce_sum,loss_total
0,32251.102162564686,77.15574680039398,1.2000000000000004,32252.302162564687,0.0,32252.302162564687
1,30685.200847105574,73.40957140455879,1.2465362179243489,30686.4473833235,0.0,30686.4473833235
2,29314.916659982795,70.13137956933683,1.2946966521850074,29316.21135663498,0.0,29316.21135663498
3,28127.06336407343,67.28962527290294,1.3444305942589478,28128.407794667688,0.0,28128.407794667688
4,27106.703999168833,64.84857416069099,1.3956716627386534,27108.099670831572,0.0,27108.099670831572
5,26237.485297574633,62.76910358271443,1.4483398094325777,26238.933637384063,0.0,26238.933637384063
6,25502.43376159305,61.01060708515084,1.502343913087147,25503.936105506134,0.0,25503.936105506134
7,24884.515081482754,59.53233273081999,1.557584344476698,24886.07266582723,0.0,24886.07266582723
8,24366.90760962371,58.294037343597395,1.613955626754826,24368.521565250467,0.0,24368.521565250467
9,23933.432769632436,57.25701619529291,1.6713498455129303,23935.10411947795,0.0,23935.10411947795
10,23569.094767701485,56.38539418110403,1.7296621137717252,23570.824429815257,0.0,23570.824429815257
11,23260.403111023006,55.64689739479188,1.7887969813100824,23262.191908004315,0.0,23262.191908004315
12,22995.480833432768,55.013112041705185,1.848672165263316,22997.32950559803,0.0,22997.32950559803
13,22764.11199743038,54.459598079976985,1.909220140113668,22766.021217570495,0.0,22766.021217570495
14,22557.728190136724,53.96585691420269,1.9703892385992443,22559.698579375323,0.0,22559.698579375323
15,22369.329388341885,53.51514207737293,2.0321446180540343,22371.361532959938,0.0,22371.361532959938
16,22193.358342760643,53.09415871473838,2.09446910088435,22195.452811861527,0.0,22195.452811861527
17,22025.545039554716,52.692691482188316,2.157363918021474,22027.702403472736,0.0,22027.702403472736
18,21862.734133855272,52.30319170778773,2.2208493637655597,21864.95498321904,0.0,21864.95498321904
19,21702.707497477655,51.920352864779076,2.284965330304786,21704.99246280796,0.0,21704.99246280796
20,21544.012453282667,51.540699649001596,2.349771677415222,21546.36222496008,0.0,21546.36222496008
21,21385.803000480715,51.162208135121325,2.415348407079126,21388.218348887793,0.0,21388.218348887793
22,21227.69781140616,50.7839660559956,2.4817956333628737,21230.179607039525,0.0,21230.179607039525
23,21069.656275912435,50.40587625816372,2.549233347713659,21072.205509260148,0.0,21072.205509260148
24,20911.872565411963,50.0284032665358,2.61780096970723,20914.49036638167,0.0,20914.49036638167
25,20754.686994662436,49.65236123124985,2.6876566468903267,20757.374651309325,0.0,20757.374651309325
26,20598.513265439804,49.27873986947321,2.758976255243727,20601.27224169505,0.0,20601.27224169505
27,20443.77965324011,48.908563763732325,2.8319520997525056,20446.611605339865,0.0,20446.611605339865
28,20290.882662893444,48.542781490175706,2.906791416742104,20293.789454310187,0.0,20293.789454310187
29,20140.153082210934,48.182184407203195,2.9837148425794218,20143.136797053514,0.0,20143.136797053514
30,19991.83528406042,47.827357138900524,3.0629549545687,19994.89823901499,0.0,19994.89823901499
31,19846.080009589212,47.478660310022036,3.1447548416442253,19849.224764430855,0.0,19849.224764430855
32,19702.9489935697,47.13624161141076,3.2293665312126802,19706.178360100912,0.0,19706.178360100912
33,19562.427685228082,46.800066232603065,3.3170490890096227,19565.74473431709,0.0,19565.74473431709
34,19424.44146627371,46.46995566094189,3.4080663682776247,19427.849532641987,0.0,19427.849532641987
35,19288.87212442013,46.145627091914186,3.5026846100998443,19292.37480903023,0.0,19292.37480903023
36,19155.573574435937,45.82673103932042,3.6011701848490487,19159.174744620785,0.0,19159.174744620785
37,19024.3867652085,45.51288699810646,3.703787660607167,19028.090552869107,0.0,19028.090552869107
38,18895.153304393036,45.20371603921779,3.8107982311470163,18898.964102624184,0.0,18898.964102624184
39,18767.726911372574,44.898868209025295,3.922458454052192,18771.649369826628,0.0,18771.649369826628
40,18641.98194880272,44.59804293971943,4.039019235603222,18646.020968038323,0.0,18646.020968038323
41,18517.818663626225,44.30100158762255,4.160725009842772,18521.979388636068,0.0,18521.979388636068
42,18395.165053450848,44.00757189820777,4.287813080467884,18399.452866531316,0.0,18399.452866531316
43,18273.975477808366,43.71764468375207,4.420513132900302,18278.395990941266,0.0,18278.395990941266
44,18154.226442855903,43.43116373888972,4.559046973156825,18158.78548982906,0.0,18158.78548982906
45,18035.910421052256,43.14811105514894,4.703628578873701,18040.61404963113,0.0,18040.61404963113
46,17919.028880314963,42.86849014429417,4.854464530756905,17923.88334484572,0.0,17923.88334484572
47,17803.58566530592,42.59231020408115,5.011754840690967,17808.597420146612,0.0,17808.597420146612
48,17689.581543385444,42.31957307030011,5.175694140410235,17694.757237525853,0.0,17694.757237525853
49,17577.010317559034,42.05026391760534,5.346473165879397,17582.356790724913,0.0,17582.356790724913
50,17465.856580057847,41.784345885305854,5.524280467506419,17471.380860525354,0.0,17471.380860525354
51,17356.09496881184,41.52175829859292,5.709304283276822,17361.80427309512,0.0,17361.80427309512
52,17247.690667777308,41.26241786549595,5.90173452071565,17253.59240229802,0.0,17253.59240229802
53,17140.600831009648,41.00622208375514,6.101764799905637,17146.702595809555,0.0,17146.702595809555
54,17034.77659313826,40.75305405057,6.309594513303751,17041.086187651563,0.0,17041.086187651563
55,16930.16534669959,40.50278791076457,6.525430859968444,16936.690777559557,0.0,16936.690777559557
56,16826.71301159103,40.25529428610294,6.749490813241041,16833.46250240427,0.0,16833.46250240427
57,16724.366084291112,40.010445177729935,6.982002982701825,16731.348087273815,0.0,16731.348087273815
58,16623.073324402052,39.76811800096185,7.223209333714548,16630.296533735767,0.0,16630.296533735767
59,16522.787004334794,39.528198574963625,7.47336673117047,16530.260371065964,0.0,16530.260371065964
60,16423.463707465777,39.290583032214776,7.7327482780792245,16431.196455743855,0.0,16431.196455743855
61,16325.064706421852,39.05517872349726,8.001644424303596,16333.066350846155,0.0,16333.066350846155
62,16227.555984436658,38.82190426898722,8.280363825869232,16235.836348262526,0.0,16235.836348262526
63,16130.907979426942,38.59068894599747,8.569233940792758,16139.477213367734,0.0,16139.477213367734
64,16035.095134691783,38.36147161409517,8.868601353181276,16043.963736044963,0.0,16043.963736044963
65,15940.09533502097,38.134199366078875,9.17883182338771,15949.274166844358,0.0,15949.274166844358
66,15845.889295930396,37.90882606681913,9.500310068159727,15855.389605998556,0.0,15855.389605998556
67,15752.459959824799,37.68531090867177,9.833439280844281,15762.293399105643,0.0,15762.293399105643
68,15659.791938480175,37.463617077703766,10.178640407591914,15669.970578887767,0.0,15669.970578887767
69,15567.871027890798,37.243710593040184,10.536351200888623,15578.407379091686,0.0,15578.407379091686
70,15476.683809973256,37.02555935400301,10.907025076367361,15487.590835049623,0.0,15487.590835049623
71,15386.217346098007,36.80913240693303,11.291129802500619,15397.508475900508,0.0,15397.508475900508
72,15296.458959911912,36.594399425626584,11.689146055316472,15308.148105967228,0.0,15308.148105967228
73,15207.396101343138,36.38133038598837,12.101565871676346,15219.497667214815,0.0,15219.497667214815
74,15119.016279984637,36.16989540666181,12.528891034952059,15131.545171019588,0.0,15131.545171019588
75,15031.307054104072,35.960064722737016,12.971631426248077,15044.27868553032,0.0,15044.27868553032
76,14944.256061174303,35.7518087587902,13.43030337276197,14957.686364547066,0.0,14957.686364547066
77,14857.851076733534,35.54509826969745,13.905428022587767,14871.756504756122,0.0,14871.756504756122
78,14772.080090170475,35.339904521938934,14.39752977235036,14786.477619942825,0.0,14786.477619942825
79,14686.931388269868,35.13619949346858,14.907134770598658,14701.838523040467,0.0,14701.838523040467
80,14602.393639636672,34.93395607568582,15.434769515953679,14617.828409152626,0.0,14617.828409152626
81,14518.455975130475,34.73314826586238,15.980959564677594,14534.436934695153,0.0,14534.436934695153
82,14435.108061044768,34.53375134221236,16.54622835769138,14451.654289402459,0.0,14451.654289402459
83,14352.340162888082,34.33574201647866,17.131096172236873,14369.47125906032,0.0,14369.47125906032
84,14270.143198366277,34.13909856068487,17.736079198498466,14287.879277564776,0.0,14287.879277564776
85,14188.508778629479,33.943800905812154,18.3616887367368,14206.870467366216,0.0,14206.870467366216
86,14107.42923721673,33.74983071104481,19.00843050602113,14126.43766772275,0.0,14126.43766772275
87,14026.897646485362,33.55717140307503,19.676804051652788,14046.574450537015,0.0,14046.574450537015
88,13946.907821773295,33.36580818606051,20.367302235004967,13967.2751240083,0.0,13967.2751240083
89,13867.454314055733,33.175728024056774,21.08041078688145,13888.534724842613,0.0,13888.534724842613
90,13788.532392455618,32.98691959917612,21.816607903688315,13810.349000359307,0.0,13810.349000359307
91,13710.138018501144,32.79937325000274,22.576363864731093,13732.714382365875,0.0,13732.714382365875
92,13632.267814450333,32.61308089581419,23.36014064875564,13655.62795509909,0.0,13655.62795509909
93,13554.919028219101,32.42803595267728,24.16839152836012,13579.08741974746,0.0,13579.08741974746
94,13478.089497411052,32.24423324739486,25.001560622011716,13503.091058033064,0.0,13503.091058033064
95,13401.7776146199,32.06166893449737,25.860082384998485,13427.637697004899,0.0,13427.637697004899
96,13325.982295636299,31.880340420182534,26.74438102264748,13352.726676658946,0.0,13352.726676658946
97,13250.702951461522,31.700246295362493,27.65486981149778,13278.35782127302,0.0,13278.35782127302
98,13175.939464275843,31.521386278171875,28.59195031682074,13204.531414592664,0.0,13204.531414592664
99,13101.69216681324,31.343761164624976,29.556011497951033,13131.24817831119,0.0,13131.24817831119
100,13027.96182411411,31.167372784961987,30.547428696357496,13058.509252810469,0.0,13058.509252810469
101,12954.749616397425,30.992223962673265,31.566562505253497,12986.316178902678,0.0,12986.316178902678
102,12882.057121880236,30.818318473397692,32.6137575237897,12914.670879404026,0.0,12914.670879404026
103,12809.88629869099,30.645661001653085,33.68934100340311,12843.575639694393,0.0,12843.575639694393
104,12738.239465485149,30.47425709446208,34.79362139857309,12773.03308688372,0.0,12773.03308688372
105,12667.119280846618,30.30411311207325,35.926886838871106,12703.04616768549,0.0,12703.04616768549
106,12596.528721895691,30.13523617678395,37.089403543559044,12633.61812543925,0.0,12633.61812543925
107,12526.471062656585,29.967634121188002,38.281414203832,12564.752476860416,0.0,12564.752476860416
108,12456.9498525996,29.80131543684115,39.50313636081109,12496.452988960411,0.0,12496.452988960411
109,12387.968895430113,29.636289223517018,40.75476080922245,12428.723656239335,0.0,12428.723656239335
110,12319.53222769008,29.47256513801455,42.03645005695947,12361.56867774704,0.0,12361.56867774704
111,12251.64409621902,29.31015334023689,43.348336869031115,12294.992433088051,0.0,12294.992433088051
112,12184.30893307722,29.14906443319909,44.69052292046378,12228.999455997684,0.0,12228.999455997684
113,12117.53132629273,28.98930939304481,46.06307757649213,12163.594403869223,0.0,12163.594403869223
114,12051.315984818882,28.830899485212637,47.466036810177116,12098.78202162906,0.0,12098.78202162906
115,11985.667696393566,28.673846163620972,48.89940225824006,12034.567098651805,0.0,12034.567098651805
116,11920.59127758313,28.51816095115581,50.36314040669196,11970.954417989822,0.0,11970.954417989822
117,11856.091516050441,28.36385530155608,51.85718189036686,11907.948697940808,0.0,11907.948697940808
118,11792.173105967211,28.210940444897634,53.38142088634419,11845.554526853555,0.0,11845.554526853555
119,11728.840578299265,28.05942722081164,54.93571458169575,11783.77629288096,0.0,11783.77629288096
120,11666.098228408837,27.909325905284298,56.519882701550365,11722.618111110387,0.0,11722.618111110387
121,11603.95004388664,27.760646038006314,58.133707093781965,11662.083750980422,0.0,11662.083750980422
122,11542.3996357792,27.613396257844975,59.77693138051307,11602.176567159713,0.0,11602.176567159713
123,11481.450176367116,27.467584153988316,61.449260702290694,11542.899437069407,0.0,11542.899437069407
