조건,회차,시험 지진,시험 행 n,시험 양성,시험 음성,BCE 대상 행,omega,시험 AUC prior q_LS,시험 AUC 사후 p_LS,kappa,e^kappa,b_LS,a_LS,기존 loss (NLL+패널티),BCE 합,학습 파라미터 수,실행 명령
B2-w1,4,2018 오사카,7,5,2,118,1.0,1.0,1.0,-0.3936,0.6746,-1.0393,B 계열: a=1 고정,6368.3505,38.7539,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 1 --test-event 2018 오사카 --out results/loeo/B2-w1/2018 오사카
B2-w1,5,2018 훗카이도,13,9,4,112,1.0,0.5556,0.5556,-0.1344,0.8742,-0.7023,B 계열: a=1 고정,6371.6774,30.8683,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 1 --test-event 2018 훗카이도 --out results/loeo/B2-w1/2018 훗카이도
B2-w10,1,2000 돗토리,24,15,9,101,10.0,0.9407,0.9407,-0.0204,0.9799,0.0944,B 계열: a=1 고정,6380.9945,29.512,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 10 --test-event 2000 돗토리 --out results/loeo/B2-w10/2000 돗토리
B2-w10,2,2004 니가타현주에쓰,10,8,2,115,10.0,0.875,1.0,-0.1825,0.8332,-0.2215,B 계열: a=1 고정,6378.7372,35.1795,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 10 --test-event 2004 니가타현주에쓰 --out results/loeo/B2-w10/2004 니가타현주에쓰
B2-w10,3,2016 구마모토,29,26,3,96,10.0,0.7821,0.8333,-0.4226,0.6553,-0.4545,B 계열: a=1 고정,6376.5943,30.6733,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 10 --test-event 2016 구마모토 --out results/loeo/B2-w10/2016 구마모토
B2-w10,4,2018 오사카,7,5,2,118,10.0,1.0,1.0,-0.265,0.7672,-0.4631,B 계열: a=1 고정,6376.5056,36.3627,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 10 --test-event 2018 오사카 --out results/loeo/B2-w10/2018 오사카
B2-w10,5,2018 훗카이도,13,9,4,112,10.0,0.5556,0.5278,0.1692,1.1844,0.0233,B 계열: a=1 고정,6380.336,28.3058,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 10 --test-event 2018 훗카이도 --out results/loeo/B2-w10/2018 훗카이도
B0-logit,1,전체(가린 지진 없음),83,63,20,0 (BCE 미사용),0.0,0.8286,0.8349,산지 항 없음,산지 항 없음,0.0,B 계열: a=1 고정,6382.361,0.0,44,train.py --prior-family area --area-link logit --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --fix-b --out results/loeo/B0-logit
B2-logit,1,2000 돗토리,24,15,9,101,4.35,0.9407,0.9407,-0.0271,0.9733,-0.0063,B 계열: a=1 고정,6379.3115,29.5981,46,train.py --prior-family area --area-link logit --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 4.35 --test-event 2000 돗토리 --out results/loeo/B2-logit/2000 돗토리
B2-logit,2,2004 니가타현주에쓰,10,8,2,115,4.35,0.875,1.0,-0.1921,0.8252,-0.313,B 계열: a=1 고정,6377.1034,35.2704,46,train.py --prior-family area --area-link logit --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 4.35 --test-event 2004 니가타현주에쓰 --out results/loeo/B2-logit/2004 니가타현주에쓰
B2-logit,3,2016 구마모토,29,26,3,96,4.35,0.7821,0.8333,-0.4098,0.6638,-0.5618,B 계열: a=1 고정,6374.7158,30.7964,46,train.py --prior-family area --area-link logit --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 4.35 --test-event 2016 구마모토 --out results/loeo/B2-logit/2016 구마모토
B2-logit,4,2018 오사카,7,5,2,118,4.35,1.0,1.0,-0.2683,0.7647,-0.5535,B 계열: a=1 고정,6374.8946,36.4539,46,train.py --prior-family area --area-link logit --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 4.35 --test-event 2018 오사카 --out results/loeo/B2-logit/2018 오사카
B2-logit,5,2018 훗카이도,13,9,4,112,4.35,0.5556,0.5278,0.156,1.1688,-0.064,B 계열: a=1 고정,6378.8086,28.3795,46,train.py --prior-family area --area-link logit --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 4.35 --test-event 2018 훗카이도 --out results/loeo/B2-logit/2018 훗카이도
