epoch,nll_total,nll_per_row,penalty,loss_base,bce_sum,loss_total
0,32262.525768018753,77.18307600004486,1.2000000000000004,32263.725768018754,31.81373818579818,32402.115529126975
1,30725.38618451214,73.5057085753879,1.2465362179232857,30726.632720730064,31.43884953893023,30863.39171622441
2,29381.60944599467,70.29093168898247,1.2946752798903507,29382.904121274558,31.233016167629465,29518.767741603748
3,28217.783574003697,67.50665926795143,1.3443488281559879,28219.127922831853,31.207172091638746,28354.87912143048
4,27218.52930873463,65.11609882472399,1.39547188600457,27219.924780620633,31.37199866545666,27356.392974815368
5,26367.103556545262,63.0791951113523,1.4479464838693323,26368.55150302913,31.737300342154683,26506.608759517505
6,25646.336837122,61.35487281608134,1.501665949864745,25647.838503071864,32.3111434904379,25788.39197725527
7,25038.979420145737,59.90186464149698,1.5565199486510684,25040.53594009439,33.09873298279089,25184.515428569528
8,24528.00442855605,58.679436431952276,1.6124004311440805,24529.616828987193,34.10099965531604,24677.956177487817
9,24097.146167957908,57.6486750429615,1.669207824782586,24098.81537578269,35.31290795760653,24252.42652539828
10,23731.436030269888,56.77377040734423,1.7268564779344775,23733.16288674782,36.72156128576066,23892.90167834088
11,23417.558099429094,56.02286626657678,1.7852787103723753,23419.343378139467,38.30428953516841,23585.96703761745
12,23144.015849766183,55.3684589707325,1.844427371277824,23145.86027713746,40.027056728257115,23319.977973905377
13,22901.167008191776,54.78748088084157,1.9042773722842914,22903.07128556406,41.84369576693661,23085.091362150233
14,22681.16054370048,54.2611496260777,1.9648269763416608,22683.125370676822,43.69657567686035,22873.205474871163
15,22477.78123923075,53.77459626610227,2.0260989123655238,22479.807338143117,45.51921092324544,22677.815905659234
16,22286.235781827185,53.31635354504111,2.0881405011526404,22288.323922328338,47.24093704349076,22493.821998467523
17,22102.933269021003,52.877830787131586,2.1510226050474985,22105.08429162605,48.793140230099176,22317.334451626983
18,21925.282558049686,52.45282908624327,2.2148380247470842,21927.497396074432,50.115888001302004,22145.501508880097
19,21751.507699182064,52.037099758808765,2.2796998663094965,21753.787399048375,51.16352791101689,21976.3487454613
20,21580.481508030356,51.62794619146018,2.34574006586402,21582.82724809622,51.90811325209157,21808.62754074282
21,21411.578031727957,51.22387088930133,2.4131080897546466,21413.99113981771,52.34023517698876,21641.67116283761
22,21244.543655261037,50.824267117849374,2.481969774454398,21247.02562503549,52.46759294656965,21475.259654353067
23,21079.385731789574,50.42915246839611,2.5525062577345765,21081.93823804731,52.312079283915736,21309.495782932343
24,20916.27748610296,50.0389413543133,2.624912953854847,20918.902399056817,51.90621642432626,21144.694440502637
25,20755.47825470956,49.65425419786976,2.699398534320582,20758.17765324388,51.28958313553761,20981.28733988347
26,20597.26854160939,49.27576206126648,2.776183888793411,20600.04472549818,50.50560541354983,20819.744109047122
27,20441.899650174877,48.90406614874372,2.855501054982991,20444.75515122986,49.59886259903642,20660.51020353567
