실험,브랜치,결과,prior_mode,lam_gamma,b_bound,b_min,b_max,run_tag,mse_ls,mse_lq,auc_ls,auc_lq,auc_prior_ls,auc_prior_lq,auc_zprior_ls,auc_zprior_lq,auc_zprior_ls_wavg,auc_zprior_lq_wavg,gain_ls,gain_lq,gain_ls_wavg,gain_lq_wavg,auc_ls_wavg,auc_lq_wavg,auc_prior_ls_wavg,auc_prior_lq_wavg,auc_ls_niigata2004,auc_prior_ls_niigata2004,n_ls,n_lq,n,a_LS,b_LS,a_LQ,b_LQ,gamma_ls_max,gamma_lq_max,sum_gamma2,frac_middle,c_LS,c_LQ
A fixed,followup3-area-avg-fixed,followup3-area-avg-fixed,area-fixed,0.1,,,,,0.3491021632513701,0.2499133068117298,0.7776814240073026,0.8276758409785933,0.857173284649323,0.7485474006116207,0.8484405902936254,0.818348623853211,0.8850064316147492,0.7698132442003763,-0.0707591662863228,0.0093272171253822,-0.0981795171433937,0.0094785269417254,0.7868269144713554,0.7792917711421018,0.8777701664852648,0.715445570663787,0.9134615384615384,0.96875,418,229,418,1.0,0.0,1.0,0.0,3.185857727384252,0.630532686271375,43.38851001901656,0.3983253588516746,1.0,1.0
A fixed,followup3-area-avg-fixed,followup3-area-avg-fixed,area-fixed,1.0,,,,,0.3538528265172778,0.2499381039824204,0.7777574927734672,0.8270642201834862,0.857173284649323,0.7485474006116207,0.8484405902936254,0.818348623853211,0.8850064316147492,0.7698132442003763,-0.0706830975201582,0.0087155963302751,-0.097189468503005,0.0247144940878956,0.7878169631117442,0.794527738288272,0.8777701664852648,0.715445570663787,0.903846153846154,0.96875,418,229,418,1.0,0.0,1.0,0.0,2.5267142012025867,0.4946122325840444,26.738851209181217,0.4114832535885167,1.0,1.0
A fixed,followup3-area-avg-fixed,followup3-area-avg-fixed,area-fixed,10.0,,,,,0.3682610942882052,0.2497435455511018,0.8311577666210254,0.8225535168195719,0.857173284649323,0.7485474006116207,0.8484405902936254,0.818348623853211,0.8850064316147492,0.7698132442003763,-0.0172828236726,0.0042048929663608,-0.0243458452166172,0.0113506178207936,0.860660586398132,0.7811638620211699,0.8777701664852648,0.715445570663787,0.951923076923077,0.96875,418,229,418,1.0,0.0,1.0,0.0,0.5830661044996729,0.2113144258216497,1.2168596040413495,0.4808612440191387,1.0,1.0
A fixed,followup3-area-avg-fixed,followup3-area-avg-fixed,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
A fixed,followup3-area-avg-fixed,followup3-area-avg-fixed,[베이스라인] 전부 기저확률,,,,,,0.1880966552963531,0.2494231612669476,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
B tied,followup3-area-avg-tied,followup3-area-avg-tied,area-tied,0.0,,,,,0.1892393780904473,0.2791780575323552,0.7804655408489274,0.6769113149847096,0.857173284649323,0.7485474006116207,0.8484405902936254,0.818348623853211,0.8850064316147492,0.7698132442003763,-0.067975049444698,-0.1414373088685014,-0.1079010055336061,-0.1109746861373317,0.7771054260811431,0.6588385580630446,0.8777701664852648,0.715445570663787,0.9387019230769232,0.96875,418,229,418,0.5581787799795194,2.385358766854221,0.501338922875385,1.2650235070614286,5.477676914552545,2.870658080717784,108.40800487080764,0.1818181818181818,0.5581787799795194,0.501338922875385
B tied,followup3-area-avg-tied,followup3-area-avg-tied,area-tied,0.1,,,,,0.1892094966808545,0.274523587019388,0.7799482732390081,0.6912079510703365,0.857173284649323,0.7485474006116207,0.8484405902936254,0.818348623853211,0.8850064316147492,0.7698132442003763,-0.0684923170546173,-0.1271406727828745,-0.1063800788745826,-0.098936583758086,0.7786263527401666,0.6708766604422903,0.8777701664852648,0.715445570663787,0.9387019230769232,0.96875,418,229,418,0.5609940429696043,2.433241323203553,0.5013803456353946,1.2331816750098028,5.240783373362826,2.6571495214231144,97.5223238509577,0.1973684210526315,0.5609940429696043,0.5013803456353946
B tied,followup3-area-avg-tied,followup3-area-avg-tied,area-tied,1.0,,,,,0.1963268886374607,0.2279806221270202,0.7725848166742736,0.7750764525993884,0.857173284649323,0.7485474006116207,0.8484405902936254,0.818348623853211,0.8850064316147492,0.7698132442003763,-0.0758557736193518,-0.0432721712538226,-0.1119029505851204,-0.0399101028943569,0.7731034810296288,0.7299031413060194,0.8777701664852648,0.715445570663787,0.920673076923077,0.96875,418,229,418,0.5371055672727716,2.616578677155968,0.5013949075091612,1.3974696612448554,3.657530857164429,1.8392675410587516,48.74589572942454,0.3014354066985646,0.5371055672727716,0.5013949075091612
B tied,followup3-area-avg-tied,followup3-area-avg-tied,area-tied,10.0,,,,,0.1409242482504068,0.2529894925057961,0.832009736802069,0.8301223241590213,0.857173284649323,0.7485474006116207,0.8484405902936254,0.818348623853211,0.8850064316147492,0.7698132442003763,-0.0164308534915563,0.0117737003058102,-0.0353630428583926,0.0172880931617245,0.8496433887563566,0.7871013373621009,0.8777701664852648,0.715445570663787,0.9543269230769232,0.96875,418,229,418,0.8890630358122407,4.913802665460381,0.5042456068699199,0.8037535238086804,0.7188832407900256,0.8965000186042245,4.610856405076238,0.534688995215311,0.8890630358122407,0.5042456068699199
B tied,followup3-area-avg-tied,followup3-area-avg-tied,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
B tied,followup3-area-avg-tied,followup3-area-avg-tied,[베이스라인] 전부 기저확률,,,,,,0.1880966552963531,0.2494231612669476,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
C bounded,followup3-area-avg-bounded,followup3-area-avg-bounded,area-bounded,0.0,,,,,0.1807286901728115,0.2730707760960348,0.804351133424616,0.6925840978593273,0.857173284649323,0.7485474006116207,0.8620416856838582,0.8081804281345566,0.8936633286640627,0.7692515559956365,-0.0576905522592422,-0.1155963302752293,-0.0851080043098512,-0.122431060812795,0.8085553243542115,0.6468204951828415,0.8777701664852648,0.715445570663787,0.954326923076923,0.96875,418,229,418,1.384324650383823,7.356739411876024,0.5022309853493312,1.0545653955516023,5.465531627638769,2.9268825684542605,105.28327579494176,0.1770334928229665,1.0,1.0
C bounded,followup3-area-avg-bounded,followup3-area-avg-bounded,area-bounded,0.1,,,,,0.180264328103242,0.2691245691608137,0.8039555758405598,0.7047400611620795,0.857173284649323,0.7485474006116207,0.8622242507226533,0.8081804281345566,0.8936633286640627,0.7692515559956365,-0.0582686748820935,-0.103440366972477,-0.0845602032317681,-0.1149335669692901,0.8091031254322946,0.6543179890263464,0.8777701664852648,0.715445570663787,0.9519230769230768,0.96875,418,229,418,1.3923128416320272,7.437061130244473,0.5023869941018121,1.0251930693213716,5.231535705463177,2.734087353171044,95.45882749084934,0.1782296650717703,1.0,1.0
C bounded,followup3-area-avg-bounded,followup3-area-avg-bounded,area-bounded,1.0,,,,,0.179770312917002,0.2731695580201327,0.8049901110603985,0.7634556574923547,0.857173284649323,0.7485474006116207,0.8632587859424921,0.808256880733945,0.8954967500109324,0.7692515559956365,-0.0582686748820935,-0.0448012232415903,-0.0806335147048359,-0.0645605404256269,0.8148632353060965,0.7046910155700096,0.8777701664852648,0.715445570663787,0.935096153846154,0.96875,418,229,418,1.4329246326627734,7.949131988480765,0.5029143871285202,0.769935276323146,3.6434006055798656,1.7876477370286303,46.059144743179104,0.2440191387559808,1.0,1.0
C bounded,followup3-area-avg-bounded,followup3-area-avg-bounded,area-bounded,10.0,,,,,0.114792781114778,0.2506867966278058,0.8595770576601247,0.8159785932721714,0.857173284649323,0.7485474006116207,0.8668492317054617,0.8087920489296636,0.8968936003375807,0.7708815568191858,-0.0072721740453369,0.0071865443425077,-0.0157079285892294,0.0103694616853596,0.8811856717483513,0.7812510185045455,0.8777701664852648,0.715445570663787,0.96875,0.96875,418,229,418,1.9766451434571248,11.063044786600129,0.5076031407489251,0.8302828512779357,0.647290664057482,0.9275298251803364,4.564395536850105,0.3839712918660287,1.0,1.0
C bounded,followup3-area-avg-bounded,followup3-area-avg-bounded,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
C bounded,followup3-area-avg-bounded,followup3-area-avg-bounded,[베이스라인] 전부 기저확률,,,,,,0.1880966552963531,0.2494231612669476,,,,,,,,,,,,,,,,,,,418,229,418,,,,,,,,,,
D free,followup3-area-avg-free,followup3-area-avg-free,area-free,0.0,,,,,0.1935795886069132,0.2619270129095942,0.7859729195192454,0.7175840978593272,0.857173284649323,0.7485474006116207,0.8573558496881181,0.8127675840978594,0.8775986722560457,0.7719547539753323,-0.0713829301688726,-0.0951834862385322,-0.0947200007573408,-0.0705833844112158,0.7828786714987048,0.7013713695641165,0.8777701664852648,0.715445570663787,0.9375,0.96875,418,229,418,1.2031207742931278,6.722521368909327,0.5013670049300787,1.2473936569440482,5.2857399235820495,2.626938933709033,96.6252504020928,0.1782296650717703,0.0026532965668112,0.3801218494154196
