c_ls,c_lq,lam_gamma,ls_prior,ls_post,ls_gain,lq_prior,lq_post,lq_gain,mse_ls,mse_lq,bias_ls,bias_lq,nll,n_ls,n_lq
0.3,0.3,10.0,0.8958952303295123,0.8696640293504433,-0.026231200979069,0.7478468219478508,0.765278545043298,0.0174317230954471,0.1909781271366019,0.2802779451903475,-0.2002020143758831,-0.2748565881758928,6365.620648138662,418,229
0.3,0.4,10.0,0.8958952303295123,0.8692006212153135,-0.0266946091141988,0.7403123700399974,0.7765279203479728,0.0362155503079754,0.1909153869073471,0.2305949981235658,-0.2004750692295002,-0.1949629383707562,6363.969154469572,418,229
0.3,0.5,10.0,0.8958952303295123,0.8690461518369369,-0.0268490784925754,0.7570032442862361,0.791399748468649,0.0343965041824129,0.1910508248963634,0.1931628463499807,-0.2003382848740506,-0.1057254188927805,6367.953679906402,418,229
0.3,0.6,10.0,0.8958952303295123,0.8690121021352517,-0.0268831281942606,0.7689076859996281,0.7847387184390852,0.015831032439457,0.1912043979897174,0.1769745586782834,-0.2001975069067357,-0.0161105056131012,6372.839021467999,418,229
0.3,0.7,10.0,0.8958952303295123,0.8683601749200601,-0.0275350554094522,0.7708376556715333,0.7888402491051967,0.0180025934336633,0.1912968828863642,0.1797284771431241,-0.2001678038036742,0.0661932332190505,6376.868508402081,418,229
0.3,0.8,10.0,0.8958952303295123,0.8679658123254561,-0.0279294180040562,0.7714785276926545,0.7872045446561929,0.0157260169635384,0.1913280540000015,0.1954099190801219,-0.2001518864241552,0.138653908018871,6380.414129097717,418,229
0.3,0.9,10.0,0.8958952303295123,0.8680847537468062,-0.0278104765827061,0.7752639508514791,0.7855788019199809,0.0103148510685017,0.191319724095217,0.2196288893155722,-0.2000918809877194,0.2015285566871028,6383.487305984161,418,229
0.3,1.0,10.0,0.8958952303295123,0.8679638019519286,-0.0279314283775837,0.7698132442003763,0.7817259597699684,0.011912715569592,0.1913281032426629,0.2493190678492922,-0.1999764063629141,0.2559978099612021,6384.673939882121,418,229
0.4,0.3,10.0,0.8970624077227272,0.855408926959161,-0.0416534807635661,0.7478468219478508,0.7628285756578447,0.0149817537099938,0.1642955349556818,0.279229433803925,-0.1570673538234633,-0.2749424358724178,6351.492261809759,418,229
0.4,0.4,10.0,0.8970624077227272,0.8559524285529923,-0.0411099791697349,0.7403123700399974,0.7733554655626148,0.0330430955226174,0.1640735609479411,0.2303342277575652,-0.1576232688920201,-0.1942230322171677,6350.34487152378,418,229
